
1 257
0.459136 0.00459126 2.5579
0.467733 0.0922118 2.5673
0.457034 0.188103 2.59388
0.299107 -0.408955 2.38255
0.225951 -0.412776 2.39091
0.301303 -0.521578 2.34374
0.232323 -0.521308 2.35117
0.140543 -0.180423 2.47221
0.303593 -0.13837 2.45724
0.354162 -0.25717 2.46373
0.119358 -0.315079 2.49687
 
11 1057
0.20305 0.928983 2.58483
0.209663 0.725977 2.60266
0.204849 0.531431 2.53056
0.230208 0.338287 2.51488
0.0418423 0.917523 2.7686
0.0484639 0.694444 2.66533
0.0559908 0.525434 2.53032
0.0647422 0.347254 2.51828
0.079216 0.155865 2.49856
0.199488 0.211647 2.51288
0.26888 -0.304476 2.47587
0.00254303 -0.099631 2.5893
-0.0711337 0.124507 2.58065
-0.0368758 0.0100464 2.56318
-0.0110673 0.041273 2.5188
0.449629 -0.115623 2.52159
0.471995 0.0132902 2.55429
0.483382 0.0929564 2.54623
0.493259 0.205205 2.5329
0.30979 -0.405838 2.39158
0.237565 -0.413242 2.39758
0.312001 -0.5194 2.35101
0.241217 -0.521002 2.35854
0.148735 -0.186402 2.48022
0.314668 -0.146748 2.46354
0.364437 -0.258318 2.47175
0.13074 -0.317593 2.50642
 
12 1135
0.20569 0.931394 2.58162
0.209204 0.724147 2.60349
0.210653 0.517733 2.52892
0.236461 0.32582 2.51351
0.0418423 0.917523 2.7686
0.0484639 0.694444 2.66533
0.0568362 0.512021 2.50491
0.063895 0.330531 2.50562
0.0992505 0.130743 2.48393
0.19915 0.221607 2.50685
0.276777 -0.305216 2.48452
-0.000769346 -0.0838704 2.60412
-0.078848 0.152957 2.58488
-0.0368758 0.0100464 2.56318
-0.00157962 -0.0499516 2.52999
0.462038 -0.114328 2.52313
0.476681 0.0103668 2.54297
0.50317 0.0789889 2.5159
0.517111 0.21275 2.48644
0.318077 -0.40459 2.39995
0.248315 -0.410962 2.40372
0.318599 -0.517728 2.35381
0.249051 -0.520614 2.36293
0.152962 -0.18816 2.48967
0.322677 -0.152135 2.47114
0.376316 -0.259315 2.48356
0.13702 -0.318411 2.51721
 
13 1210
0.209093 0.918764 2.6125
0.20981 0.710324 2.60114
0.212231 0.507447 2.52765
0.237351 0.32612 2.51481
0.0418423 0.917523 2.7686
0.0451753 0.673614 2.65216
0.0576217 0.484149 2.4773
0.0629651 0.312037 2.4921
0.108916 0.114453 2.47303
0.199647 0.225788 2.50072
0.284099 -0.303273 2.49001
-0.0025047 -0.0749416 2.62014
-0.080591 0.165527 2.59701
-0.0368758 0.0100464 2.56318
-0.00157962 -0.0499516 2.52999
0.470014 -0.118063 2.51479
0.487514 0.0207237 2.51926
0.515225 0.0648053 2.4835
0.52951 0.213459 2.43434
0.323829 -0.404946 2.40694
0.253951 -0.411683 2.41378
0.325746 -0.516613 2.36769
0.254549 -0.521961 2.3726
0.151366 -0.180052 2.49865
0.324196 -0.151326 2.47909
0.388619 -0.263897 2.49719
